task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
PushT,3072,0.03,0.08,9101,100,8,0.6133715048678218,3.6284141540527344,5.915524482727051,1.0,1.7881324291229248,17.88258171081543,14.86817741394043,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.04,0.08,9101,100,8,0.50333236612653,2.881791114807129,5.725423812866211,0.9897959232330322,1.618726372718811,17.725370407104492,15.233917236328125,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.05,0.08,9101,100,8,0.5036910676900177,2.7001867294311523,5.360799312591553,1.0,1.4822723865509033,17.40440559387207,15.299541473388672,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.06,0.08,9101,100,8,0.4832480827393781,2.329923629760742,4.82138204574585,1.0,1.4429922103881836,17.558277130126953,15.627695083618164,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.07,0.08,9101,100,8,0.33615049769286,1.8453311920166016,5.489598274230957,1.0,0.8265690803527832,17.25482177734375,15.643841743469238,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.08,0.08,9101,100,8,0.22418129709450388,1.2384361028671265,5.524261474609375,1.0,0.7771425247192383,17.60802459716797,16.227333068847656,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.0,0.08,9101,100,8,3.9464090489730728,21.43501091003418,5.431522846221924,0.23469386994838715,19.992938995361328,17.51644515991211,-2.244981288909912,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.01,0.08,9101,100,8,3.3327761202221877,18.530624389648438,5.560116767883301,0.714285671710968,13.786016464233398,17.511825561523438,2.934873104095459,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.02,0.08,9101,100,8,2.5243999152143277,13.572619438171387,5.376572608947754,0.9081632494926453,6.978662490844727,17.261180877685547,8.849311828613281,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3073,0.03,0.08,9101,100,8,0.7399988157138043,4.385834693908691,5.926813125610352,0.9897959232330322,2.072024345397949,17.80867576599121,14.783273696899414,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
