task,rho,n_training_seeds,clean_eval_score_mean,clean_eval_score_pstdev,obs_sigma_008_score_mean,obs_sigma_008_score_pstdev,recovery_label_rate,atr_normalized_q90_mean,atr_normalized_q90_pstdev,smpr_delta0_mean,smpr_delta0_pstdev,proxy_gap_q50q90_mean,proxy_gap_q50q90_pstdev,proxy_gap_positive_rate,top1_agree_mean,top1_agree_pstdev,cert_pass_rate_mean,notes
PushT,0.06,3,88.22222211111111,1.3425608200582875,86.77777755555556,0.6285395181895532,1.0,0.10390356043736514,0.026366997147229728,1.0,0.0,109.82135009765625,28.301368686256065,1.0,0.9566666676352421,0.028674416915885577,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.07,3,86.44444455555556,0.8748899190014683,84.0,0.2721652548103785,1.0,0.08544736404892567,0.011830996213944546,1.0,0.0,112.84614499409993,3.4239086797695664,1.0,0.9633333335320154,0.009428091083145735,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.08,3,86.88888911111111,1.5947443542949358,85.77777766666667,3.4462360430181724,1.0,0.06897407212396857,0.0036397945808730498,1.0,0.0,117.73607381184895,10.213202554456574,1.0,0.9733333339293798,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.00,3,59.22222222222222,1.0304023066648855,18.222222444444444,0.41573967994588396,0.0,1.0,0.0,0.7333333094914755,0.028674415616719486,-417.3200276692708,5.380500700157044,0.0,0.09666665395100911,0.016996742777973455,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.01,3,62.66666655555555,1.1863418719058427,44.55555555555556,2.5724082006200497,0.0,0.9678736168965507,0.03234551880416763,0.8999999761581421,0.01632991604511815,-250.724334081014,31.045099576376643,0.0,0.3700000047683716,0.07118053753447094,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.02,3,77.00000022222223,6.182412174572019,70.33333355555555,9.463379554503383,0.3333333333333333,0.36069004444799085,0.3319428469250056,0.9766666491826376,0.020548049641776134,-56.79968023300171,68.32826676251636,0.3333333333333333,0.8099999992797772,0.1606237869458092,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.03,3,78.22222222222223,1.6629588385661966,76.77777788888889,4.166296383546854,1.0,0.09082862719917147,0.014173728854783298,0.9933333198229471,0.009428109522391958,-6.689947128295898,3.770512425715227,0.0,0.960000000273188,0.008164966387197763,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.04,3,81.77777766666667,1.594744555573366,80.55555566666666,1.0304019592037306,1.0,0.05649604314742433,0.0017082587151606514,0.9899999698003134,0.008164982356065493,4.789068857828776,1.2500096156251777,1.0,0.9800000004470348,0.008164965626776053,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.05,3,76.44444433333334,4.565030726168688,77.77777766666667,5.665577128371908,0.6666666666666666,0.03351842537382922,0.011258474688140535,0.9933333198229471,0.009428109522391958,5.38505204518636,0.9489958866983658,1.0,0.9633333341528972,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.06,3,82.222222,2.793290170266719,80.66666677777778,1.186342121662067,1.0,0.03642114998550683,0.0020985328202239605,0.9933332999547323,0.004714068810145483,8.901650746663412,0.25454129207894705,1.0,0.9900000002235174,0.0,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.07,3,82.11111122222222,2.1998878422589074,83.33333322222222,1.088662107903648,1.0,0.032958333199371956,0.0014275453704258626,0.9933332999547323,0.004714068810145483,9.714690526326498,1.214336238864255,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Reacher,0.08,3,81.33333333333333,2.325383441101323,81.55555533333333,0.874889820223604,1.0,0.031296062050140384,0.0019268039642735457,0.9966666499773661,0.004714068810145483,11.593287626902262,0.7759111389588043,1.0,0.9833333337058624,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.00,3,65.22222222222223,1.0999438818457425,43.111111,3.2697642079068436,0.0,1.0,0.0,0.45333331823349,0.02867441446190051,-314.6528625488281,8.912288106539329,0.0,0.08666668335596721,0.03299831308362434,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.01,3,66.77777777777777,1.812167401582451,48.777777666666665,0.3142698376621932,0.0,0.8397192828565037,0.05823011584243608,0.8466666539510092,0.0449691103067452,-185.0696767171224,43.59260925510447,0.0,0.3433333436648051,0.09741093569807874,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.02,3,63.666666666666664,2.6246692913372702,56.66666655555556,3.067149877389493,0.0,0.3736633630707304,0.2603310997927377,0.9766666491826376,0.020548049641776134,-29.419572512308758,66.54397910460641,0.3333333333333333,0.760000005364418,0.19595917504262528,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.03,3,64.55555533333333,1.662958868261894,65.99999977777777,1.6996733237323667,1.0,0.3066236731885624,0.013158005045134822,0.9899999499320984,0.0,3.9904556274414062,15.64707510848249,0.6666666666666666,0.9233333331843218,0.016996732793248467,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.04,3,68.11111133333334,1.0304019592037306,64.111111,0.8314793895874185,1.0,0.17204162256762465,0.010048508912380075,1.0,0.0,44.9526735941569,10.500985734216062,1.0,0.9700000006705523,0.008164965626776053,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.05,3,62.666666444444445,3.3993462334417806,63.55555566666667,2.528846020921577,0.6666666666666666,0.05830698349498118,0.032374029625674525,1.0,0.0,56.47082773844401,14.924973003004277,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.06,3,65.9999998888889,1.186342184101117,64.88888888888889,1.8525926444237317,1.0,0.05861633250331024,0.000853412163513747,1.0,0.0,75.58984247843425,4.6591899806984305,1.0,0.993333333482345,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.07,3,64.66666688888888,2.1602467451659404,65.22222244444444,1.5475985458959565,1.0,0.04828153905200345,0.003956418905886013,1.0,0.0,80.51717058817546,6.247968160920574,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
Cube,0.08,3,61.66666677777778,3.569417547672122,62.55555566666667,1.547598849033849,0.3333333333333333,0.043176529931486095,0.0022317310355493107,1.0,0.0,66.84612083435059,11.982329622279751,1.0,0.9966666667411724,0.004714045102543195,,cert_pass_rate unavailable without sample-level max-cost-drift traces
