task,rho,n_training_seeds,recovery_label_rate,obs_sigma_008_score_mean,cert_pass_rate_mean,cert_pass_rate_pstdev,top1_flip_rate_mean,top1_flip_rate_pstdev,gap_q10_q95_mean,gap_q10_q95_pstdev,gap_q50_q95_mean,gap_q50_q95_pstdev,max_drift_q95_mean,clean_margin_q10_mean,candidate_count_mean
PushT,0.03,3,1.0,82.44444466666667,0.5833333333333334,0.02624669563850015,0.07666666681567828,0.012472193001722814,-286.9847815831502,64.03210009648508,-170.96514638264975,75.95800183039468,150.88509623209634,14.78541088104248,65.0
PushT,0.04,3,1.0,86.55555555555556,0.6400000055631002,0.0571547617773297,0.053333332762122154,0.020548046116558326,-228.11163902282715,22.210746329808465,-112.57581583658855,28.399502300292088,120.182861328125,12.254083633422852,65.0
PushT,0.05,3,0.6666666666666666,81.11111111111111,0.6133333444595337,0.08219220501317813,0.03999999972681204,0.02160246879925246,-211.6006293296814,73.98497388922036,-103.56039428710938,74.2694295846976,110.6527582804362,9.704887231191,65.0
PushT,0.06,3,1.0,86.77777755555556,0.6900000174840292,0.063770416830008,0.0699999990562598,0.008164965626776101,-170.52092202504477,50.71763594915473,-59.14221700032552,69.59110468043436,88.83341725667317,7.145912488301595,65.0
PushT,0.07,3,1.0,84.0,0.6900000174840292,0.02828427237137786,0.029999999329447746,0.02160246851184006,-163.41349919637045,21.69008417239409,-53.5763905843099,25.85383907538529,86.43754069010417,9.46158218383789,65.0
PushT,0.08,3,1.0,85.77777766666667,0.7433333396911621,0.041096102506589065,0.029999999950329464,0.01632993201397381,-126.17935307820638,13.451019471434007,-3.4843419392903647,13.877943941916051,66.51391728719075,6.84848149617513,65.0
Reacher,0.00,3,0.0,18.222222444444444,0.0033333332588275275,0.004714045102543195,0.8799999952316284,0.032659880757224966,-935.218993028005,32.097269567060515,-921.7754748662313,31.42472563050585,468.3039042154948,1.3888154029846191,65.0
Reacher,0.01,3,0.0,44.55555555555556,0.049999999503294625,0.02160246908666484,0.5533333321412405,0.06599662917773971,-865.4670387506485,28.27536602441697,-850.9518407185873,27.420458421850668,433.4468994140625,1.4267600774765015,65.0
Reacher,0.02,3,0.3333333333333333,70.33333355555555,0.30000000447034836,0.2616613673829692,0.1999999980131785,0.15577761738634827,-323.3422230084737,315.7750914130949,-307.95067342122394,315.84426020846314,162.33701737721762,1.331811745961507,65.0
Reacher,0.03,3,1.0,76.77777788888889,0.3400000035762787,0.0535412585271382,0.07333333293596904,0.01885618216629147,-74.36502861976624,8.82755882669786,-58.81120045979818,8.872474342621596,37.87285486857096,1.3806811173756917,65.0
Reacher,0.04,3,1.0,80.55555566666666,0.4499999980131785,0.008164970189309262,0.03666666646798452,0.012472191674221759,-42.79466132322947,3.364099558724172,-27.761675516764324,2.8275042666106662,21.975440343221027,1.1562193632125854,65.0
Reacher,0.05,3,0.6666666666666666,77.77777766666667,0.5333333214124044,0.041899337212303614,0.03666666646798452,0.012472191674221759,-31.108292539914448,6.825013611687017,-16.647036870320637,5.145323172375591,16.056657473246258,1.005022406578064,65.0
Reacher,0.06,3,1.0,80.66666677777778,0.5766666730244955,0.032998341181523345,0.016666666294137638,0.01699673133206939,-27.602121233940125,0.379647950724951,-12.120578130086264,1.592290740440338,14.655465443929037,1.7088096539179485,65.0
Reacher,0.07,3,1.0,83.33333322222222,0.5800000031789144,0.016329940378618523,0.019999999552965164,0.008164965626776053,-28.448438783486683,1.6393119222037054,-13.441396713256836,2.1274041623645905,14.846983591715494,1.2455283999443054,65.0
