training_seed,task,std_key,sample_index,candidate_count,clean_margin,sample_max_drift,sample_mean_drift,cert_pass,top1_flip,clean_best,noisy_best
3072,TwoRoom,0.02,19,65,316.7409362792969,38.32159423828125,4.909361362457275,True,False,0,0
3072,TwoRoom,0.02,20,65,17.82175064086914,34.404937744140625,6.837004661560059,False,False,0,0
3072,TwoRoom,0.02,21,65,213.9221954345703,16.17218017578125,3.1093521118164062,True,False,0,0
3072,TwoRoom,0.02,22,65,269.6595764160156,38.777801513671875,5.209163665771484,True,False,0,0
3072,TwoRoom,0.02,23,65,125.4655532836914,60.65380859375,11.873958587646484,True,False,0,0
3072,TwoRoom,0.02,24,65,281.6242370605469,18.19232177734375,3.4906625747680664,True,False,0,0
3072,TwoRoom,0.02,25,65,244.57815551757812,49.754058837890625,4.729564666748047,True,False,0,0
3072,TwoRoom,0.02,26,65,87.31159973144531,82.31634521484375,13.119522094726562,False,False,33,33
3072,TwoRoom,0.02,27,65,310.21026611328125,136.23062133789062,11.837053298950195,True,False,0,0
3072,TwoRoom,0.02,28,65,333.3796691894531,39.34527587890625,6.357633590698242,True,False,0,0
3072,TwoRoom,0.02,29,65,1.7644213438034058,125.685546875,22.56858253479004,False,True,50,27
3072,TwoRoom,0.02,30,65,217.43185424804688,23.2236328125,4.446118354797363,True,False,0,0
3072,TwoRoom,0.02,31,65,81.25140380859375,133.583984375,15.076475143432617,False,False,0,0
3072,TwoRoom,0.02,32,65,152.77845764160156,50.9818115234375,5.546336650848389,True,False,0,0
3072,TwoRoom,0.02,33,65,123.44860076904297,101.13214111328125,25.512788772583008,False,False,0,0
3072,TwoRoom,0.02,34,65,134.51968383789062,75.11190795898438,9.6453218460083,False,False,0,0
3072,TwoRoom,0.02,35,65,72.0278549194336,64.78424072265625,12.750557899475098,False,False,0,0
3072,TwoRoom,0.02,36,65,216.8675079345703,244.5300750732422,10.30640983581543,False,True,0,39
3072,TwoRoom,0.02,37,65,68.83526611328125,35.74272918701172,5.090904712677002,False,False,0,0
3072,TwoRoom,0.02,38,65,69.44192504882812,100.07699584960938,24.36042022705078,False,False,0,0
3072,TwoRoom,0.02,39,65,2.2155866622924805,283.7900390625,34.4752197265625,False,True,46,62
3072,TwoRoom,0.02,40,65,68.86589050292969,45.576507568359375,11.562661170959473,False,False,0,0
3072,TwoRoom,0.02,41,65,292.7900085449219,25.694091796875,3.633229970932007,True,False,0,0
3072,TwoRoom,0.02,42,65,216.14886474609375,69.87968444824219,7.303391456604004,True,False,0,0
3072,TwoRoom,0.02,43,65,8.037997245788574,119.4429931640625,21.47650146484375,False,True,8,37
3072,TwoRoom,0.02,44,65,289.9645080566406,34.3619384765625,4.783414840698242,True,False,0,0
3072,TwoRoom,0.02,45,65,149.23745727539062,20.467864990234375,3.5000689029693604,True,False,0,0
3072,TwoRoom,0.02,46,65,307.1390686035156,144.28759765625,19.890283584594727,True,False,0,0
3072,TwoRoom,0.02,47,65,268.2685852050781,153.16990661621094,16.25950050354004,False,False,0,0
3072,TwoRoom,0.02,48,65,299.9056701660156,269.9082336425781,12.418770790100098,False,False,0,0
3072,TwoRoom,0.02,49,65,10.544610977172852,2.465301513671875,0.6407576203346252,True,False,0,0
3072,TwoRoom,0.02,50,65,32.01688003540039,58.93357849121094,12.271757125854492,False,False,0,0
3072,TwoRoom,0.02,51,65,245.2680206298828,280.2820129394531,25.363374710083008,False,True,0,53
3072,TwoRoom,0.02,52,65,16.719318389892578,143.28317260742188,30.260726928710938,False,False,4,4
3072,TwoRoom,0.02,53,65,33.020408630371094,235.454833984375,17.34588050842285,False,False,0,0
3072,TwoRoom,0.02,54,65,332.79730224609375,49.44537353515625,4.406732082366943,True,False,0,0
3072,TwoRoom,0.02,55,65,226.81149291992188,121.49557495117188,7.108839988708496,False,False,0,0
3072,TwoRoom,0.02,56,65,279.6635437011719,283.7366638183594,29.984867095947266,False,False,0,0
3072,TwoRoom,0.02,57,65,166.43106079101562,16.986663818359375,2.953188419342041,True,False,0,0
3072,TwoRoom,0.02,58,65,55.13503646850586,74.66390991210938,14.64284896850586,False,False,0,0
3072,TwoRoom,0.02,59,65,32.27995300292969,56.07989501953125,13.855984687805176,False,False,0,0
3072,TwoRoom,0.02,60,65,4.751110076904297,170.06268310546875,19.957809448242188,False,True,0,21
3072,TwoRoom,0.02,61,65,203.12667846679688,28.53076171875,4.236926555633545,True,False,0,0
3072,TwoRoom,0.02,62,65,6.499733924865723,65.064208984375,15.827264785766602,False,False,0,0
3072,TwoRoom,0.02,63,65,283.1387634277344,56.402008056640625,17.082706451416016,True,False,0,0
3072,TwoRoom,0.02,64,65,323.1695861816406,81.26266479492188,13.564743995666504,True,False,0,0
3072,TwoRoom,0.02,65,65,18.073429107666016,70.0769271850586,13.915724754333496,False,False,0,0
3072,TwoRoom,0.02,66,65,213.66036987304688,28.50360107421875,2.485607385635376,True,False,0,0
3072,TwoRoom,0.02,67,65,250.87738037109375,146.08477783203125,14.261164665222168,False,False,0,0
3072,TwoRoom,0.02,68,65,238.35804748535156,93.61036682128906,4.667214870452881,True,False,0,0
3072,TwoRoom,0.02,69,65,2.415464401245117,427.31475830078125,14.016471862792969,False,True,0,61
3072,TwoRoom,0.02,70,65,210.77969360351562,52.15191650390625,10.100570678710938,True,False,0,0
3072,TwoRoom,0.02,71,65,74.66065216064453,77.87728881835938,11.045746803283691,False,False,0,0
3072,TwoRoom,0.02,72,65,102.54766082763672,101.13751220703125,24.197538375854492,False,False,0,0
3072,TwoRoom,0.02,73,65,35.7961540222168,19.53631591796875,2.4175543785095215,False,False,0,0
3072,TwoRoom,0.02,74,65,285.06787109375,119.43751525878906,17.3980712890625,True,False,0,0
