task,train_seed,split,stdmax,eval_noise_sigma,closed_loop_score,base_closed_loop_score,best_closed_loop_score,normalized_recovery,regime,atr_q90,atr_rel,smpr
Reacher,3074,heldout,0.0,0.08,18.666667,18.666667,83.333333,0.0,fragile,2.5791641540531067,1.0,0.7299999594688416
Reacher,3074,heldout,0.01,0.08,41.0,18.666667,83.333333,0.3453608231480498,transition,2.3961164203351046,0.9290282731983747,0.9199999570846558
Reacher,3074,heldout,0.02,0.08,64.666667,18.666667,83.333333,0.7113402135189714,transition,2.0959519810047227,0.812647763311604,0.949999988079071
Reacher,3074,heldout,0.03,0.08,80.666667,18.666667,83.333333,0.9587628964820918,robust,0.28342804287613466,0.10989143224200482,0.9799999594688416
Reacher,3074,heldout,0.04,0.08,80.0,18.666667,83.333333,0.9484536128706559,robust,0.13970067865464328,0.054165097803141514,0.9899999499320984
Reacher,3074,heldout,0.05,0.08,83.333333,18.666667,83.333333,1.0,robust,0.1074369736155499,0.04165573309737372,1.0
Reacher,3074,heldout,0.06,0.08,79.0,18.666667,83.333333,0.9329896951854608,robust,0.10127330669045415,0.0392659406852042,0.9899999499320984
Reacher,3074,heldout,0.07,0.08,82.0,18.666667,83.333333,0.9793814482410459,robust,0.08935972252532325,0.03464677592734691,0.9899999499320984
Reacher,3074,heldout,0.08,0.08,80.333333,18.666667,83.333333,0.9536082469444149,robust,0.07801434049559372,0.030247915927722434,1.0
Cube,3072,calibration,0.0,0.08,47.0,47.0,68.33333333333333,0.0,fragile,2.2742336070066784,1.0,0.4899999797344208
Cube,3072,calibration,0.01,0.08,49.0,47.0,68.33333333333333,0.09375000000000003,fragile,2.0776750575894734,0.9135715219352891,0.8100000023841858
Cube,3072,calibration,0.02,0.08,58.666666666666664,47.0,68.33333333333333,0.546875,transition,0.04780825968518538,0.021021701349365818,1.0
Cube,3072,calibration,0.03,0.08,68.33333333333333,47.0,68.33333333333333,1.0,robust,0.7240019399862586,0.3183498554219248,0.9899999499320984
Cube,3072,calibration,0.04,0.08,65.0,47.0,68.33333333333333,0.8437500000000002,robust,0.3680051470679651,0.16181501580760188,1.0
Cube,3072,calibration,0.05,0.08,60.0,47.0,68.33333333333333,0.6093750000000001,transition,0.030684271457932382,0.013492137027347285,1.0
Cube,3072,calibration,0.06,0.08,66.66666666666667,47.0,68.33333333333333,0.9218750000000004,robust,0.13599607434451766,0.05979863894611698,1.0
Cube,3072,calibration,0.07,0.08,67.33333333333333,47.0,68.33333333333333,0.953125,robust,0.10016446149654128,0.044043171813108795,1.0
Cube,3072,calibration,0.08,0.08,62.0,47.0,68.33333333333333,0.7031250000000001,transition,0.09119283847319774,0.040098272311270944,1.0
Cube,3073,heldout,0.0,0.08,39.0,39.0,65.666667,0.0,fragile,2.3036574016869658,1.0,0.41999998688697815
Cube,3073,heldout,0.01,0.08,48.333333,39.0,65.666667,0.3499999831250003,transition,1.7766762916055157,0.7712415441221675,0.9099999666213989
Cube,3073,heldout,0.02,0.08,59.0,39.0,65.666667,0.749999990625,transition,1.0559506338552718,0.45838006688060484,0.9799999594688416
Cube,3073,heldout,0.03,0.08,64.333333,39.0,65.666667,0.949999975625,robust,0.6640239554413109,0.2882477033933287,0.9899999499320984
Cube,3073,heldout,0.04,0.08,64.333333,39.0,65.666667,0.949999975625,robust,0.3884189434786768,0.16860968266993087,1.0
Cube,3073,heldout,0.05,0.08,65.666667,39.0,65.666667,1.0,robust,0.2046304788834513,0.08882852056629628,1.0
Cube,3073,heldout,0.06,0.08,65.666667,39.0,65.666667,1.0,robust,0.13415380353433165,0.05823513662929695,1.0
Cube,3073,heldout,0.07,0.08,64.666667,39.0,65.666667,0.96250000046875,robust,0.12339337259711963,0.053564116134091296,1.0
Cube,3073,heldout,0.08,0.08,64.666667,39.0,65.666667,0.96250000046875,robust,0.10161935750323704,0.044112183273789456,1.0
Cube,3074,heldout,0.0,0.08,43.333333,43.333333,65.333333,0.0,fragile,2.3820318136256216,1.0,0.44999998807907104
Cube,3074,heldout,0.01,0.08,49.0,43.333333,65.333333,0.25757577272727267,transition,1.987435815476264,0.8343447825120545,0.8199999928474426
Cube,3074,heldout,0.02,0.08,52.333333,43.333333,65.333333,0.4090909090909092,transition,1.528283791830296,0.6415883209822205,0.949999988079071
Cube,3074,heldout,0.03,0.08,65.333333,43.333333,65.333333,1.0,robust,0.7462273498721302,0.31327346075043355,0.9899999499320984
Cube,3074,heldout,0.04,0.08,63.0,43.333333,65.333333,0.8939394090909092,robust,0.4423437108904243,0.1857001692253412,1.0
Cube,3074,heldout,0.05,0.08,65.0,43.333333,65.333333,0.9848485000000001,robust,0.1729362073456146,0.07260029289129998,1.0
Cube,3074,heldout,0.06,0.08,62.333333,43.333333,65.333333,0.8636363636363639,robust,0.13771769795984484,0.05781522193451679,1.0
Cube,3074,heldout,0.07,0.08,63.666667,43.333333,65.333333,0.9242424545454545,robust,0.11252082096609282,0.04723732920881025,1.0
Cube,3074,heldout,0.08,0.08,61.0,43.333333,65.333333,0.8030303181818182,robust,0.107951619452755,0.045319134209397885,1.0
